district,address,room_count,area,floors,house_type,price,latitude,longitude
Pļavnieki,Salnas 21,2,54,1/9,Jaun.,"83,000  €",56.942327,24.23009287799782
centrs,Alauksta 9,3,109,6/6,Jaun.,"200,000  €",,
Zolitūde,Augšzemes 5,3,90,2/4,Jaun.,"160,000  €",56.94414285,24.02350542614048
Imanta,Dammes 33,3,66,2/5,LT proj.,"66,000  €",56.9647216,24.00658904641454
centrs,Čaka 113,2,45,2/5,Renov.,600  €/mēn.,56.9588573,24.1409036
Vecmīlgrāvis,Dombrovska 47,4,78,5/9,602.,"76,500  €",57.0346715,24.09950273233128
centrs,Čaka 82,2,46,2/6,P. kara,520  €/mēn.,56.95638515,24.13822863315769
Sarkandaugava,Duntes 24,1,25,2/2,P. kara,"19,000  €",56.9843132,24.135995378428355
Mežciems,Druvienas 19,3,60,2/5,LT proj.,"53,500  €",56.9721158,24.22913725
Vecrīga,Aspazijas bulv. 30,3,101,2/6,P. kara,"550,000  €",,
Vecrīga,Šķūņu 6,1,42,3/4,Renov.,"142,000  €",56.948731550000005,24.107531942606784
Purvciems,Ainavas 2,2,37,1/5,LT proj.,"33,500  €",56.9640707,24.190404975597417
Mežciems,Hipokrāta 24,2,40,4/5,Jaun.,530  €/mēn.,56.96045145,24.24015598929696
Mežaparks,Ezermalas 2A,2,50,4/12,Čehu pr.,"49,900  €",56.9984019,24.1707634
centrs,Brīvības 103,3,89,3/6,P. kara,"183,000  €",56.9614331,24.1331108
Zolitūde,Lejiņa 16,1,43,8/9,119.,"49,800  €",56.9477553,24.022188344873264
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,602.,"29,500  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,602.,"29,500  €",51.77014725,-1.2649910410071945
Pļavnieki,Salnas 3,1,32,1/9,602.,"29,500  €",56.94361645,24.21888362164634
Āgenskalns,Kūdras 6,3,61,5/5,LT proj.,"63,000  €",,
Ķengarags,Kaņiera 16,1,31,1/12,Specpr.,300  €/mēn.,56.91465465,24.167929525452145
Vecmīlgrāvis,Ledus 2,1,35,3/9,602.,"34,500  €",57.03751635,24.095659131119135
Iļģuciems,Dzirciema 57,2,48,3/9,467.,"43,000  €",56.96156055,24.05295580144329
